name	university	homepage	total_all_2016_2022	total_conf_2016_2022	total_journal_2016_2022	ieeesp_2016_	acm_ccs_2016_	usenix_sec_2016_	ndss_2016_	tdsc_2016_	tifs_2016_	
Daren Zha			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Mi Kyung Han			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Lili Qiu	University of Texas at Austin	https://www.cs.utexas.edu/~lili	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Wendy Bartlett			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Lisa Spainhower			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Naeimeh Laleh			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Jingwei Li 0001	University of Electronic Science and Technology of China	https://orcid.org/0000-0001-8457-0454	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Ge-Ming Chiu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Jane-Ferng Chiu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Xiaoting Tang			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Amarjit Datta			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Stavros Papadopoulos 0001	Intel Labs & MIT	https://people.csail.mit.edu/stavrosp/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Spiridon Bakiras	CUNY	http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Spiridon-Bakiras	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Dimitris Papadias	HKUST	https://www.cse.ust.hk/faculty/dimitris	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Steve Nyemba			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Peeyush Gupta			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Yin Li 0001	Dongguan University of Technology	https://orcid.org/0000-0002-9529-8481	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Sharad Mehrotra	Univ. of California - Irvine	https://www.ics.uci.edu/~sharad	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Shantanu Sharma 0001	NJIT	https://web.njit.edu/~ss797	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Sungjin Park 0001	Attached Institute of ETRI	https://orcid.org/0000-0003-0080-217X	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Chung Hwan Kim	University of Texas at Dallas	https://chungkim.io	                    7	                    6	                    1	                    0	                    0	                    4	                    2	                    1	                    0
Jong-Jin Won			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Taisook Han	KAIST	https://cs.kaist.ac.kr/people/view?idx=32&kind=faculty&menu=160	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Chunya Hu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Yuqi Fan			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Leonardo Montecchi		http://ic.unicamp.br/~leonardo/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Paolo Lollini		https://orcid.org/0000-0002-2364-2538	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Angelo Marguglio			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Peng Lu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Yanmin Zhu	Shanghai Jiao Tong University	http://www.cs.sjtu.edu.cn/~yzhu	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Guangtao Xue	Shanghai Jiao Tong University	http://www.cs.sjtu.edu.cn/~xue-gt	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Minglu Li 0001	Shanghai Jiao Tong University	http://www.acem.sjtu.edu.cn/en/faculty/luming.html	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Amir Jalali			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Mehran Mozaffari Kermani			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Birgit Pfitzmann	IBM Research Zurich	https://researcher.watson.ibm.com/researcher/view.php?person=zurich-BPF	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Zequ Yang			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Garth A. Gibson	Carnegie Mellon University	http://www.cs.cmu.edu/~garth/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Xinxin Fan			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Ruiyang Xiao			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Wei Ren 0002	China University of Geosciences	https://orcid.org/0000-0001-8590-1737	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Mohamed A. Haleem	University of Hail	https://orcid.org/0000-0001-5068-2001	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Chetan Nanjunda Mathur			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Habib Louafi	University of Regina	http://www.cs.uregina.ca/People/Profiles/HabibLouafi.html	                    2	                    1	                    1	                    0	                    1	                    0	                    0	                    1	                    0
Mohamed Cheriet	ETS Montreal	http://www.synchromedia.ca	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Rachid Guerraoui	EPFL	http://lpdwww.epfl.ch/rachid	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Alexandre Maurer			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
K. K. Rao			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
James Lee Hafner			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Richard A. Golding	University of California	http://www.soe.ucsc.edu/~golding/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Stanislav Ponomarev			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Travis Atkison	The University of Alabama	http://atkison.cs.ua.edu	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Haijiang Wang			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Sidney Karin	Univ. of California - San Diego	http://www.sdsc.edu/~skarin	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Muhammad E. S. Elrabaa			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Mohammed Alasli			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Marwan H. Abu-Amara		https://orcid.org/0000-0001-6578-5417	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Yuchen Zhao			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Isabel Wagner	De Montfort University	http://research.isabel-wagner.net/	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Hao-Tian Wu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Clay Shields	Georgetown University	http://people.cs.georgetown.edu/~clay	                    1	                    1	                    0	                    0	                    0	                    1	                    0	                    0	                    0
Brian Lynn			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Kangjie Lu	University of Minnesota	https://www.cs.umn.edu/people/kangjie-lu	                    21	                    20	                    1	                    2	                    7	                    6	                    5	                    1	                    0
Meng Xu 0001	University of Waterloo	https://cs.uwaterloo.ca/~m285xu	                    7	                    6	                    1	                    3	                    1	                    2	                    0	                    1	                    0
Chengyu Song	Univ. of California - Riverside	https://www.cs.ucr.edu/~csong	                    14	                    13	                    1	                    2	                    2	                    3	                    6	                    1	                    0
Taesoo Kim	Georgia Institute of Technology	https://taesoo.gtisc.gatech.edu	                    34	                    33	                    1	                    5	                    10	                    11	                    7	                    1	                    0
Nicholas Franzese			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Steve Lu			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Rafail Ostrovsky	Univ. of California - Los Angeles	http://www.cs.ucla.edu/~rafail	                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Xiao Wang 0012	Northwestern University	http://eecs.northwestern.edu/~wangxiao	                    11	                    11	                    0	                    3	                    7	                    1	                    0	                    0	                    0
Chenkai Weng			                    5	                    5	                    0	                    1	                    3	                    1	                    0	                    0	                    0
Paul Pearce	Georgia Institute of Technology	http://people.eecs.berkeley.edu/~pearce	                    8	                    8	                    0	                    2	                    0	                    6	                    0	                    0	                    0
Vacha Dave			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Chris Grier			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Kirill Levchenko	Univ. of Illinois at Urbana-Champaign	http://klevchen.ece.illinois.edu	                    8	                    8	                    0	                    3	                    1	                    4	                    0	                    0	                    0
Saikat Guha			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Damon McCoy	New York University	http://engineering.nyu.edu/people/damon-mccoy	                    17	                    17	                    0	                    7	                    1	                    8	                    1	                    0	                    0
Geoffrey M. Voelker	Univ. of California - San Diego	http://cseweb.ucsd.edu/~voelker	                    3	                    3	                    0	                    0	                    0	                    3	                    0	                    0	                    0
Michael Steiner 0001	Intel Labs	https://dl.acm.org/profile/81100630568	                    1	                    1	                    0	                    0	                    0	                    1	                    0	                    0	                    0
Amjad Aldweesh			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Patrick McCorry			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Aad P. A. van Moorsel	University of Newcastle	http://www.ncl.ac.uk/computing/people/profile/aadvanmoorsel.html	                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Steven Crites			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Francis Hsu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Syed Rafiul Hussain	Pennsylvania State University	https://syed-rafiul-hussain.github.io	                    5	                    5	                    0	                    0	                    2	                    0	                    3	                    0	                    0
Mitziu Echeverria			                    3	                    3	                    0	                    0	                    1	                    0	                    2	                    0	                    0
Imtiaz Karim			                    2	                    2	                    0	                    0	                    2	                    0	                    0	                    0	                    0
Omar Chowdhury	University of Iowa	http://homepage.divms.uiowa.edu/~comarhaider	                    12	                    12	                    0	                    1	                    7	                    0	                    4	                    0	                    0
Jonathon Tidswell			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Michael F. Ringenburg	Cray	http://michael.ringenburg.org/p/michael-f.html	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Dan Grossman	University of Washington	http://homes.cs.washington.edu/~djg	                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Kurt Thomas		https://scholar.google.com/citations?user=EPJhjsoAAAAJ	                    9	                    9	                    0	                    2	                    2	                    5	                    0	                    0	                    0
Dmytro Iatskiv			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Elie Bursztein	Google	https://www.elie.net/	                    11	                    11	                    0	                    4	                    2	                    4	                    1	                    0	                    0
Tadek Pietraszek			                    1	                    1	                    0	                    0	                    0	                    1	                    0	                    0	                    0
Jeremiah Blocki	Purdue University	https://www.cs.purdue.edu/homes/jblocki	                    5	                    5	                    0	                    1	                    2	                    1	                    1	                    0	                    0
Samson Zhou			                    2	                    2	                    0	                    1	                    1	                    0	                    0	                    0	                    0
Marco Patrignani	CISPA Helmholtz Center for Information Security	https://squera.github.io/about/	                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Marco Guarnieri	IMDEA Software Institute	https://mguarnieri.github.io	                    4	                    4	                    0	                    2	                    2	                    0	                    0	                    0	                    0
Gilles Barthe	Max Planck Society	https://gbarthe.github.io	                    17	                    17	                    0	                    3	                    13	                    1	                    0	                    0	                    0
Sonia Belaïd			                    2	                    2	                    0	                    0	                    2	                    0	                    0	                    0	                    0
Thomas Espitau			                    2	                    2	                    0	                    0	                    2	                    0	                    0	                    0	                    0
Pierre-Alain Fouque		https://orcid.org/0000-0003-4997-2276	                    5	                    5	                    0	                    1	                    4	                    0	                    0	                    0	                    0
Melissa Rossi			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Mehdi Tibouchi		http://www.normalesup.org/~tibouchi/	                    3	                    3	                    0	                    0	                    3	                    0	                    0	                    0	                    0
Nitin Agrawal 0002	University of Oxford	https://orcid.org/0000-0002-9337-4479	                    2	                    2	                    0	                    0	                    2	                    0	                    0	                    0	                    0
James Bell 0001	The Alan Turing Institute	https://orcid.org/0000-0003-4493-4297	                    3	                    3	                    0	                    0	                    3	                    0	                    0	                    0	                    0
Matt J. Kusner		http://mkusner.github.io/	                    2	                    2	                    0	                    0	                    2	                    0	                    0	                    0	                    0
Joshua Mason			                    7	                    7	                    0	                    1	                    0	                    6	                    0	                    0	                    0
Sam Small			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Greg MacManus			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Nikolaos Pantelaios			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Nick Nikiforakis	Stony Brook University	https://www.cs.stonybrook.edu/people/faculty/NickNikiforakis	                    17	                    17	                    0	                    4	                    5	                    3	                    5	                    0	                    0
Alexandros Kapravelos	North Carolina State University	https://www.kapravelos.com	                    8	                    8	                    0	                    3	                    2	                    2	                    1	                    0	                    0
Thomas Zacharias 0001	National and Kapodistrian University of Athens	http://crypto.di.uoa.gr/~thomas/	                    1	                    1	                    0	                    0	                    0	                    1	                    0	                    0	                    0
Doowon Kim	University of Tennessee	https://www.eecs.utk.edu/people/doowon-kim	                    4	                    4	                    0	                    2	                    1	                    1	                    0	                    0	                    0
Bum Jun Kwon			                    3	                    3	                    0	                    0	                    1	                    1	                    1	                    0	                    0
Tudor Dumitras	University of Maryland - College Park	http://users.umiacs.umd.edu/~tdumitra	                    9	                    9	                    0	                    0	                    3	                    5	                    1	                    0	                    0
Min Suk Kang	KAIST	https://netsp.kaist.ac.kr/people	                    5	                    5	                    0	                    2	                    0	                    2	                    1	                    0	                    0
Reiner Sailer			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Xiaolan Zhang 0001	IBM Thomas J. Watson Research Center	http://www.eecs.harvard.edu/~cxzhang/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Leendert van Doorn	Carnegie Mellon University	http://www.ece.cmu.edu/~leendert/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Christian Cachin	University of Bern	https://crypto.unibe.ch/cc/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Klaus Kursawe			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Anna Lysyanskaya	Brown University	https://cs.brown.edu/people/anna	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Reto Strobl			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Hung Dang			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Yue Huang			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Randal C. Burns	Johns Hopkins University	http://www.cs.jhu.edu/~randal	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Joseph Herring			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Lea Kissner			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Zachary N. J. Peterson	California State University	https://dl.acm.org/profile/81100505185	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Marc Waldman			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
David Mazières	Stanford University	http://www.scs.stanford.edu/~dm	                    1	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0
Payman Mohassel			                    7	                    7	                    0	                    1	                    5	                    0	                    1	                    0	                    0
Peter Rindal			                    10	                    10	                    0	                    0	                    9	                    1	                    0	                    0	                    0
Stuart Haber	Hewlett Packard Enterprise Labs	http://www.labs.hpe.com/people/stuart_haber/	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Benny Pinkas	Bar-Ilan University	http://www.pinkas.net	                    10	                    10	                    0	                    2	                    5	                    2	                    1	                    0	                    0
Marco Romanelli 0002	University of Siena	https://orcid.org/0000-0002-3810-4476	                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Konstantinos Chatzikokolakis 0001	University of Athens	https://www.chatzi.org/	                    2	                    2	                    0	                    1	                    1	                    0	                    0	                    0	                    0
Catuscia Palamidessi	École Polytechnique	http://www.lix.polytechnique.fr/~catuscia/	                    2	                    2	                    0	                    1	                    1	                    0	                    0	                    0	                    0
Jannik Dreier			                    2	                    2	                    0	                    0	                    2	                    0	                    0	                    0	                    0
Sofia Giampietro			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Sasa Radomirovic	Heriot-Watt University	https://researchportal.hw.ac.uk/en/persons/sasa-radomirovic	                    3	                    3	                    0	                    0	                    3	                    0	                    0	                    0	                    0
Theofilos Petsios			                    2	                    2	                    0	                    1	                    1	                    0	                    0	                    0	                    0
Jason Zhao			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Suman Jana	Columbia University	http://sumanj.info	                    16	                    16	                    0	                    5	                    3	                    7	                    1	                    0	                    0
Sergey Frolov			                    3	                    3	                    0	                    0	                    1	                    0	                    2	                    0	                    0
Jack Wampler			                    3	                    3	                    0	                    0	                    1	                    0	                    2	                    0	                    0
Sze Chuen Tan			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
J. Alex Halderman	University of Michigan	https://jhalderm.com	                    10	                    10	                    0	                    2	                    2	                    4	                    2	                    0	                    0
Eric Wustrow	University of Colorado Boulder	https://ericw.us/trow	                    6	                    6	                    0	                    0	                    1	                    1	                    4	                    0	                    0
Hubert Comon-Lundh	Ecole Normale Superieure de Cachan	http://www.lsv.ens-cachan.fr/~comon	                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Véronique Cortier	INRIA	http://www.loria.fr/~cortier/	                    5	                    5	                    0	                    2	                    3	                    0	                    0	                    0	                    0
William G. Morein			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Debra L. Cook			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Vishal Misra	Columbia University	http://www.cs.columbia.edu/~misra	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Dan Rubenstein	Columbia University	http://www.cs.columbia.edu/~danr	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Davide Balzarotti	EURECOM	http://www.s3.eurecom.fr/~balzarot	                    15	                    15	                    0	                    4	                    2	                    5	                    4	                    0	                    0
Marco Cova			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Viktoria Felmetsger			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Daniel V. Bailey			                    1	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0
Dan Boneh	Stanford University	http://crypto.stanford.edu/~dabo	                    14	                    14	                    0	                    5	                    5	                    4	                    0	                    0	                    0
Eu-Jin Goh			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Ari Juels	Cornell University	http://tech.cornell.edu/people/ari-juels	                    18	                    18	                    0	                    3	                    9	                    5	                    1	                    0	                    0
Tom van Goethem			                    10	                    10	                    0	                    1	                    2	                    3	                    4	                    0	                    0
Frank Piessens	KU Leuven	https://distrinet.cs.kuleuven.be/people/frank	                    16	                    16	                    0	                    3	                    6	                    7	                    0	                    0	                    0
Jack Doerner			                    5	                    5	                    0	                    3	                    2	                    0	                    0	                    0	                    0
Abhi Shelat	Northeastern University	https://shelat.khoury.neu.edu	                    12	                    12	                    0	                    6	                    5	                    1	                    0	                    0	                    0
Ji Sun Shin			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Walter Chang			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Brandon Streiff			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Calvin Lin	University of Texas at Austin	http://www.cs.utexas.edu/~lin	                    1	                    1	                    0	                    0	                    0	                    1	                    0	                    0	                    0
Jun-Ho Huh			                    3	                    3	                    0	                    2	                    0	                    1	                    0	                    0	                    0
Seongyeol Oh			                    1	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0
Konstantin Beznosov			                    1	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0
Apurva Mohan			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Georgios Kontaxis			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
Elias Athanasopoulos			                    5	                    5	                    0	                    1	                    0	                    2	                    2	                    0	                    0
Georgios Portokalidis	Stevens Institute of Technology	https://www.portokalidis.net	                    3	                    3	                    0	                    1	                    1	                    1	                    0	                    0	                    0
Thomas Pasquier			                    3	                    3	                    0	                    0	                    1	                    1	                    1	                    0	                    0
Xueyuan Han			                    3	                    3	                    0	                    0	                    1	                    1	                    1	                    0	                    0
Thomas Moyer			                    2	                    2	                    0	                    0	                    1	                    0	                    1	                    0	                    0
Adam Bates 0001	Univ. of Illinois at Urbana-Champaign	http://adambates.org	                    19	                    19	                    0	                    2	                    6	                    4	                    7	                    0	                    0
Olivier Hermant			                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
David M. Eyers	University of Otago	http://www.cs.otago.ac.nz/staff/David_Eyers	                    1	                    1	                    0	                    0	                    1	                    0	                    0	                    0	                    0
