name	university	homepage	total_all_2016_2022	total_conf_2016_2022	total_journal_2016_2022	ieeesp_2016_	acm_ccs_2016_	usenix_sec_2016_	ndss_2016_	tdsc_2016_	tifs_2016_	
Rainer Steinwandt	University of Alabama in Huntsville	https://www.uah.edu/science/faculty-staff/dr-rainer-steinwandt	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Wenming Zheng		https://orcid.org/0000-0002-7764-5179	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Xiaoou Tang			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Xiaocheng Hu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Weiming Zhang			                    6	                    0	                    6	                    0	                    0	                    0	                    0	                    1	                    5
Xuexian Hu		https://zbmath.org/authors/?q=ai:hu.xuexian	                    2	                    1	                    1	                    0	                    1	                    0	                    0	                    1	                    0
Nenghai Yu			                    9	                    0	                    9	                    0	                    0	                    0	                    0	                    1	                    8
Xianfeng Zhao			                    7	                    0	                    7	                    0	                    0	                    0	                    0	                    0	                    7
Fenghua Li			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Hachiro Fujita			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Peng Xu 0002	Chongqing University of Posts and Telecommunications	https://orcid.org/0000-0002-6271-9331	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Zhiguo Ding 0001	University of Manchester	https://personalpages.manchester.ac.uk/staff/zhiguo.ding/index	                    5	                    0	                    5	                    0	                    0	                    0	                    0	                    0	                    5
Xuchu Dai			                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
George K. Karagiannidis	Aristotle University of Thessaloniki	http://geokarag.webpages.auth.gr/	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Kyung-Ah Shim			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Masahiro Kaminaga			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    1	                    1
Hideki Yoshikawa			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Toshinori Suzuki			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    1	                    1
Ali Moharrer			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Shuangqing Wei			                    5	                    0	                    5	                    0	                    0	                    0	                    0	                    0	                    5
George T. Amariucai	Kansas State University	http://people.cs.ksu.edu/~amariucai	                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Jing Deng 0001	University of North Carolina at Greensboro	https://www.uncg.edu/cmp/faculty/j_deng/	                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    1	                    3
Guowen Xu			                    5	                    0	                    5	                    0	                    0	                    0	                    0	                    2	                    3
Hongwei Li 0001	UESTC	https://www.en.scse.uestc.edu.cn/info/1085/2002.htm	                    10	                    0	                    10	                    0	                    0	                    0	                    0	                    5	                    5
Sen Liu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Kan Yang 0001	University of Memphis	http://www.cs.memphis.edu/~kanyang/	                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    2	                    2
Xiaodong Lin 0001	University of Guelph	https://www.uoguelph.ca/computing/people/xiaodong-lin	                    9	                    2	                    7	                    0	                    1	                    0	                    1	                    3	                    4
Yi Liu			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Dingwen Zhang		https://orcid.org/0000-0001-8369-8886	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Qiang Zhang 0020	Xidian University	https://orcid.org/0000-0002-2828-9905	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Jungong Han		https://orcid.org/0000-0003-4361-956X	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
R. Weaver			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Xinyu Li			                    2	                    1	                    1	                    1	                    0	                    0	                    0	                    0	                    1
Jing Xu 0002	Chinese Academy of Sciences	https://orcid.org/0000-0002-0432-6206	                    5	                    2	                    3	                    1	                    1	                    0	                    0	                    2	                    1
Xiong Fan			                    3	                    2	                    1	                    0	                    2	                    0	                    0	                    0	                    1
Yuchen Wang			                    4	                    3	                    1	                    0	                    1	                    1	                    1	                    0	                    1
Zhenfeng Zhang	Chinese Academy of Sciences	http://people.ucas.ac.cn/~zfzhang	                    8	                    5	                    3	                    1	                    2	                    1	                    1	                    1	                    2
Hung-Min Sun	National Tsing Hua University	http://is.cs.nthu.edu.tw/wiki/doku.php?id=advisor:main	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    1	                    0
Yao-Hsin Chen			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Yue-Hsun Lin			                    2	                    2	                    0	                    1	                    0	                    1	                    0	                    0	                    0
Zhe Cui			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Jianjiang Feng			                    7	                    0	                    7	                    0	                    0	                    0	                    0	                    0	                    7
Jie Zhou 0001	Tsinghua University	https://scholar.google.com/citations?user=6a79aPwAAAAJ	                    7	                    0	                    7	                    0	                    0	                    0	                    0	                    0	                    7
Aris Gkoulalas-Divanis	IBM Watson Health	https://researcher.watson.ibm.com/researcher/view.php?person=us-gkoulala	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Dinusha Vatsalan			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Dimitrios Karapiperis	Hellenic Open University	https://orcid.org/0000-0002-3878-5988	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
